Name,Temp_1,Temp_2,Temp_3,Temp_4
Abelmoschus esculentus,20,30,12,35
Abelmoschus manihot,22,30,16,36
Abelmoschus moschatus,20,30,10,35
Acacia auriculiformis,24,32,10,40
Acacia farnesiana,20,32,7,42
Acacia holosericea,24,32,12,45
Adenanthera pavonina,22,28,12,36
Aeschynomene americana,22,30,7,35
Agathis australis,14,24,5,32
Agathis macrophylla,22,32,10,40
Agathis robusta,18,30,6,38
Agave sisalana,15,27,10,45
Albizia falcataria,22,31,17,40
Albizia lebbeck,26,36,12,48
Albizia procera,20,33,10,45
Albizia stipulata,22,34,4,43
Aleurites fordii,17,22,10,28
Aleurites moluccana,18,28,14,32
Aleurites montana,25,30,18,34
Allium ampeloprasum,18,24,6,27
Allium cepa,12,25,4,30
Allium fistulosum,12,25,6,30
Allium sativum,18,30,7,35
Alstonia scholaris,22,28,12,36
Amaranthus cruentus,22,28,10,45
Amaranthus sp.,19,30,7,45
Amorphophallus paeoniifolius,28,35,25,40
Anacardium occidentale,15,35,5,46
Ananas comosus,21,30,10,36
Annona muricata,20,30,13,36
Annona reticulata,23,27,7,34
Annona squamosa,23,30,11,41
Anthocephalus chinensis,22,35,15,42
Apium graveolens,15,21,5,25
Apium graveolens var. dulce,18,25,4,28
Araucaria cunninghamii,18,28,5,34
Areca catechu,16,33,7,39
Artocarpus heterophyllus,20,30,16,34
Asparagus officinalis,15,30,6,38
Asystasia gangetica,23,28,8,37
Avena sativa,16,20,5,30
Averrhoa bilimbi,23,30,10,36
Averrhoa carambola,24,30,5,39
Axonopus compressus,23,30,16,35
Bambusa vulgaris,22,28,9,32
Barringtonia racemosa,160,28,12,38
Basella alba,23,27,10,35
Basella rubra,23,27,10,35
Bauhinia variegata,12,38,5,47
Benincasa hispida,24,30,12,37
Beta vulgaris,15,25,4,35
Bidens pilosa,17,32,10,38
Bixa orellana,20,28,15,36
Bothriochloa bladhii,15,28,5,33
Brachiaria brizantha,25,35,15,38
Brachiaria decumbens,25,35,19,38
Brachiaria humidicola,32,35,20,45
Brachiaria miliiformis,24,30,10,35
Brachiaria mutica,21,30,15,46
Brachiaria ruziziensis,25,33,19,40
Brachychiton populneus,25,32,13,38
Brassica chinensis,12,22,8,34
Brassica juncea,15,28,7,40
Brassica napus,15,25,5,41
Brassica nigra,10,25,5,27
Allium cepa var. cepa,12,25,4,30
Brassica oleracea var. botrytis,10,25,5,30
Brassica oleracea var. capitata,15,24,7,32
Brassica oleracea var. gemmifera,12,20,7,25
Brassica oleracea var. italica,15,24,3,35
Broussonetia papyrifera,15,28,12,38
Cajanus cajan,18,38,10,45
Calophyllum inophyllum,28,35,10,42
Allium tuberosum,10,20,2,35
Calopogonium caeruleum,18,25,10,32
Calopogonium mucunoides,24,32,18,36
Camellia sinensis,20,30,8,35
Campnosperma brevipetiolata,28,34,16,38
Cananga odorata,20,30,16,34
Canarium indicum,22,28,10,34
Canavalia ensiformis,20,28,14,36
Canna indica,12,32,14,24
Capsicum annuum,17,30,8,35
Capsicum frutescens,18,30,7,40
Carica papaya,21,30,12,44
Casimiroa edulis,18,26,14,31
Cassia alata,23,29,12,33
Cassia fistula,18,30,4,48
Cassia occidentalis,22,28,9,32
Castilla elastica,23,30,15,34
Casuarina equisetifolia,20,35,10,40
Casuarina oligodon,22,28,10,32
Catharanthus roseus,20,30,10,34
Cedrela odorata,22,32,11,39
Ceiba pentandra,17,38,12,40
Celosia argentea,25,30,20,40
Cenchrus ciliaris,22,37,5,42
Centrosema pubescens,20,30,13,35
Chloris gayana,20,37,5,50
Chloris virgata,25,30,10,35
Chromolaena odorata,20,35,16,38
Chrysophyllum cainito,22,28,12,35
Chrysopogon aciculatus,22,28,15,35
Cichorium endivia,15,23,5,30
Cichorium intybus,10,30,6,35
Cinchona pubescens,17,25,9,28
Cinnamomum camphora,18,26,12,30
Cinnamomum verum,24,30,18,36
Citrullus lanatus,20,35,15,40
Citrus aurantium,25,30,12,42
Citrus grandis,23,32,12,40
Citrus limon,15,28,12,36
Citrus medica,21,27,12,35
Citrus paradisi,18,32,13,42
Citrus reticulata,23,34,12,38
Citrus sinensis,20,30,13,38
Citrus sp.,23,30,13,42
Clitoria ternatea,19,28,15,32
Coccoloba uvifera,21,26,10,32
Cocos nucifera,22,34,14,38
Coffea arabica,14,28,10,34
Coffea canephora,20,30,12,36
Coffea liberica,24,30,18,36
Coleus amboinicus,22,28,10,36
Colocasia esculenta,21,28,10,35
Cordia alliodora,24,32,16,36
Coriandrum sativum,15,25,4,32
Crotalaria juncea,20,30,4,40
Crotalaria pallida,22,30,13,34
Allium schoenoprasum,10,20,2,35
Cucumis melo,18,30,9,35
Cucumis sativus,18,32,6,38
Cucurbita maxima,20,30,9,38
Cucurbita moschata,20,30,10,40
Cucurbita pepo,17,30,6,40
Curcuma longa,20,28,18,32
Cyamopsis tetragonoloba,25,35,10,45
Cymbopogon citratus,24,30,18,34
Cymbopogon flexuosus,22,30,13,34
Cynara scolymus,15,25,5,30
Cynodon dactylon,17,35,6,40
Cyperus rotundus,24,32,10,45
Cyphomandra betacea,16,22,10,30
Dactyloctenium aegyptium,21,28,10,32
Daucus carota,15,24,3,30
Delonix regia,22,35,6,39
Dendrocalamus giganteus,20,27,15,34
Derris elliptica,24,30,20,36
Actinidia chinensis,21,30,8,35
Desmodium heterophyllum,23,28,12,35
Desmodium incanum,25,32,7,36
Desmodium intortum,25,33,7,36
Desmodium triflorum,18,28,14,32
Desmodium uncinatum,25,32,15,34
Dichanthium annulatum,22,30,7,40
Dichanthium aristatum,22,30,5,35
Dichanthium caricosum,32,35,12,40
Digitaria didactyla,25,35,15,42
Digitaria eriantha ssp. eriantha,24,35,10,41
Digitaria decumbens,28,32,6,35
Dillenia indica,30,40,7,47
Dioscorea alata,20,32,14,40
Dioscorea bulbifera,20,30,12,38
Dioscorea esculenta,28,32,17,45
Dioscorea rotundata,25,32,15,38
Diospyros kaki,20,31,8,35
Dodonaea viscosa,18,38,7,45
Durio zibethinus,22,40,12,45
Echinochloa colona,22,30,6,42
Echinochloa crus-galli,17,30,2,40
Elaeis guineensis,20,35,12,38
Elettaria cardamomum,22,30,10,35
Eleusine indica,20,26,6,35
Emilia sonchifolia,20,30,10,40
Eriobotrya japonica,21,27,9,36
Erythrina fusca,16,24,12,32
Erythrina variegata,17,27,10,34
Eucalyptus camaldulensis,12,28,7,40
Eucalyptus deglupta,24,32,16,38
Eucalyptus grandis,24,35,7,40
Eucalyptus papuana,20,28,10,46
Eucalyptus robusta,16,32,5,36
Eucalyptus saligna,15,32,4,36
Eucalyptus tereticornis,18,38,4,42
Syzygium cumini,20,32,12,48
Syzygium malaccense,22,28,16,33
Excoecaria agallocha,20,30,15,37
Feijoa sellowiana,20,28,12,32
Ficus carica,16,26,4,38
Ficus elastica,20,30,10,36
Allium cepa var. aggregatum,20,25,10,30
Flemingia macrophylla,22,28,12,36
Foeniculum vulgare,15,25,6,32
Fortunella japonica,26,35,12,40
Fragaria x ananassa,11,24,6,28
Garcinia mangostana,20,30,15,40
Garcinia xanthochymus,22,28,16,36
Gliricidia sepium,15,30,12,44
Glycine max,20,33,10,38
Gmelina arborea,22,34,16,46
Gossypium barbadense,22,32,15,38
Gossypium hirsutum,22,36,15,42
Grevillea robusta,15,28,8,34
Helianthus annuus,17,34,5,45
Helianthus tuberosus,15,27,7,30
Hemarthria altissima,31,35,7,38
Heritiera littoralis,20,30,10,35
Heteropogon contortus,28,34,20,38
Hevea brasiliensis,24,33,10,45
Hibiscus cannabinus,15,28,10,35
Hibiscus sabdariffa,16,32,10,36
Hibiscus syriacus,15,28,11,41
Hibiscus tiliaceus,22,32,10,36
Hordeum vulgare,15,20,2,40
Imperata cylindrica,25,35,20,40
Indigofera spicata,22,30,13,36
Inga edulis,23,30,18,35
Intsia bijuga,22,28,12,34
Ipomoea aquatica,15,35,10,40
Ipomoea batatas,18,28,10,38
Ischaemum muticum,22,28,17,35
Ischaemum rugosum,22,28,10,35
Ischaemum timorense,22,28,10,35
Jatropha curcas,11,28,7,36
Lablab purpureus,18,32,3,38
Lactuca sativa var. capitata,12,21,5,30
Lagenaria siceraria,19,27,12,38
Lagerstroemia flos-reginae,18,35,6,43
Laurus nobilis,17,25,8,30
Lawsonia inermis,19,27,13,33
Lespedeza cuneata,16,26,6,36
Leucaena leucocephala,20,32,10,42
Litchi chinensis,20,35,15,40
Lolium perenne,14,25,4,35
Lolium rigidum,10,25,5,30
Lotononis bainesii,14,32,8,35
Luffa acutangula,20,32,15,38
Lycopersicon esculentum,20,27,7,35
Macadamia integrifolia,10,26,8,35
Macadamia tetraphylla,14,28,8,38
Macaranga tanarius,20,30,15,35
Macroptilium atropurpureum,21,32,13,36
Macroptilium lathyroides,25,30,15,35
Macrotyloma axillare,20,28,11,36
Macrotyloma uniflorum,20,28,17,35
Malpighia glabra,24,30,5,34
Malus domestica,14,27,8,33
Malus sylvestris,10,30,6,35
Mammea americana,24,30,12,35
Mangifera indica,24,30,8,48
Manihot esculenta,20,29,10,35
Medicago sativa,21,27,5,45
Melaleuca leucadendron,28,37,18,40
Melaleuca quinquenervia,18,30,8,38
Melaleuca symphyocarpa,22,37,14,42
Melicoccus bijugatus,22,30,13,34
Melinis minutiflora,22,30,8,36
Mentha arvensis var. piperascens,10,25,3,30
Metroxylon sagu,25,36,18,40
Microstegium ciliatum,23,27,10,35
Mimosa pudica,22,28,10,32
Monochoria vaginalis,22,35,13,38
Morinda citrifolia,24,30,12,36
Morus alba,20,28,13,45
Muntingia calabura,22,32,10,36
Musa textilis,20,29,16,33
Myristica fragrans,22,34,12,38
Nasturtium officinale,12,17,6,32
Nauclea diderrichii,28,34,22,38
Nephelium lappaceum,21,35,10,42
Nicotiana tabacum,15,30,7,35
Nypa fruticans,23,27,20,35
Ocimum basilicum,18,27,7,36
Olea europaea,20,34,5,40
Oryza sativa,20,30,10,36
Pachyrhizus erosus,20,30,15,36
Panicum antidotale,18,25,9,31
Panicum coloratum,17,26,8,35
Panicum maximum,19,30,6,35
Parkinsonia aculeata,24,32,16,36
Paspalum dilatatum,20,30,13,36
Paspalum plicatulum,10,23,7,45
Paspalum scrobiculatum,25,27,5,33
Passiflora edulis,20,30,18,34
Passiflora edulis var. flavicarpa,25,32,15,36
Passiflora laurifolia,22,30,12,36
Passiflora mollissima,15,18,8,30
Passiflora quadrangularis,18,30,12,35
Pastinaca sativa,15,21,5,25
Pennisetum clandestinum,16,26,5,31
Pennisetum polystachyon,32,35,12,40
Pennisetum purpureum,21,40,15,45
Persea americana,14,40,10,45
Petroselinum crispum,11,20,7,28
Phaseolus coccineus,12,26,5,30
Phaseolus lunatus,16,28,13,34
Phaseolus vulgaris,16,25,7,32
Phoenix dactylifera,26,45,10,52
Phragmites karka,22,30,10,35
Physalis peruviana,16,25,10,32
Pimenta dioica,15,32,10,35
Pinus caribaea,22,34,16,40
Pinus merkusii,24,32,18,36
Pinus michoacana,20,28,9,32
Pinus oocarpa,16,30,10,34
Pinus patula,18,29,10,33
Pinus pseudostrobus,18,26,9,32
Pinus radiata,18,30,7,34
Pinus taeda,20,25,10,29
Piper betle,22,27,17,31
Piper methysticum,22,35,14,40
Piper nigrum,22,35,10,40
Pisum sativum,10,24,4,30
Pogostemon cablin,23,28,16,32
Pongamia pinnata,16,40,10,50
Portulaca oleracea,18,32,7,36
Prosopis alba,10,20,7,28
Prunus persica,20,33,7,35
Psidium cattleianum,22,28,9,32
Psidium guajava,20,33,10,45
Psophocarpus tetragonolobus,18,30,14,40
Pterocarpus indicus,24,32,12,37
Pueraria lobata,18,28,9,32
Pueraria phaseoloides,15,30,12,35
Punica granatum,23,32,8,40
Pyrus communis,20,35,10,37
Raphanus sativus,12,26,10,37
Rhizophora mangle,20,30,10,38
Rhizophora mucronata,20,28,15,32
Rhizophora stylosa,22,34,12,44
Ricinus communis,20,30,15,39
Rubus idaeus ssp. idaeus,17,23,5,28
Rubus sp.,14,20,3,28
Saccharum edule,20,30,12,38
Saccharum officinarum,24,37,15,41
Saccharum robustum,24,30,15,38
Saccharum spontaneum,25,35,17,40
Samanea saman,20,35,15,40
Secale cereale,15,20,3,31
Sechium edule,19,30,12,40
Sesamum indicum,20,30,10,40
Sesbania grandiflora,24,34,16,40
Setaria sphacelata  var. sericea,22,30,16,36
Setaria sphacelata var. splendida,22,30,16,36
Solanum americanum,20,35,15,40
Solanum melongena,20,35,9,40
Solanum nigrum,21,28,8,40
Solanum quitoense,15,25,10,30
Solanum torvum,17,29,12,35
Solanum tuberosum,15,25,7,30
Sonneratia caseolaris,20,30,10,38
Sorghum bicolor var. sweet,27,35,8,40
Sorghum halepense,24,32,15,36
Sorghum X almum,19,26,15,35
Spathodea campanulata,27,30,23,34
Spinacia oleracea,13,20,2,27
Spondias cytherea,22,27,12,35
Spondias mombin,21,27,13,35
Stenotaphrum secundatum,18,30,10,34
Stylosanthes hamata,22,28,15,35
Stylosanthes viscosa,22,30,16,36
Swietenia macrophylla,20,30,11,39
Swietenia mahogani,24,32,16,36
Tabebuia rosea,22,30,17,34
Tamarindus indica,20,35,12,45
Tecoma stans,15,25,10,35
Tectona grandis,22,32,14,43
Tephrosia candida,20,30,14,34
Tephrosia vogelii,20,28,10,32
Terminalia brassii,28,34,20,38
Terminalia calamansanai,28,34,18,38
Terminalia catappa,21,32,10,36
Terminalia superba,22,30,18,36
Themeda australis,15,25,4,35
Themeda triandra,22,28,15,35
Theobroma cacao,21,32,10,38
Thespesia populnea,20,30,10,35
Tithonia diversifolia,15,31,12,38
Toona australis,18,28,8,36
Trema orientalis,15,27,8,34
Mentha piperita,15,25,4,35
Trichosanthes cucumerina,22,35,14,38
Trifolium pratense,18,25,4,40
Trifolium repens,14,22,4,26
Trifolium semipilosum,16,27,5,32
Trifolium usambarense,15,28,12,32
Triticum aestivum,15,23,5,27
Ullucus tuberosus,12,20,5,28
Urena lobata,21,27,18,32
Vanilla planifolia,21,30,10,33
Vetiveria zizanioides,22,35,12,45
Vicia faba,18,28,5,32
Vigna angularis,15,30,5,36
Vigna mungo,22,35,8,40
Vigna radiata,21,36,8,40
Vigna umbellata,18,30,10,40
Vigna unguiculata,25,35,15,40
Vitis vinifera,18,30,10,38
Xanthosoma sagittifolium,20,28,10,35
Zea mays,18,33,10,47
Zingiber officinale,19,29,13,35
Amaranthus caudatus,21,28,7,40
Amaranthus dubius,22,30,12,45
Amaranthus lividus,21,27,18,32
Amaranthus tricolor,22,30,8,45
Anethum graveolens,15,18,6,26
Annona cherimola,17,25,7,32
Annona diversifolia,20,26,16,31
Annona purpurea,22,30,17,35
Antidesma bunius,23,27,17,33
Arachis hypogaea,22,32,10,45
Blighia sapida,24,27,20,34
Brassica oleracea var. gongyloides,12,18,5,25
Canavalia gladiata,15,30,12,36
Canna edulis,20,30,9,32
Carya illinoensis,15,35,5,40
Castanea sativa,15,25,7,30
Castanospermum australe,20,32,10,41
Citrus aurantifolia,26,32,13,38
Corylus avellana,10,24,5,35
Diospyros digyna,20,27,12,34
Syzygium javanicum,23,28,16,33
Fagopyrum esculentum,17,27,7,40
Flacourtia indica,22,40,10,48
Fortunella margarita,26,37,12,40
Fragaria vesca,12,20,5,28
Garcinia dulcis,22,30,16,38
Bactris gasipaes,18,28,12,35
Juglans regia,15,30,7,40
Lansium domesticum,20,35,12,40
Manilkara achras,20,34,11,42
Maranta arundinacea,23,29,17,34
Melissa officinalis,14,25,6,30
Monochoria hastata,25,35,16,38
Moringa oleifera,20,35,7,48
Morus nigra,15,25,10,38
Mucuna pruriens var utilis,20,30,10,35
Nasturtium schlechteri,15,28,10,35
Nelumbo nucifera,25,30,10,40
Nephelium mutabile,26,32,18,38
Ocimum americanum,22,30,10,35
Oenanthe javanica,10,30,4,32
Origanum majorana,20,26,10,30
Origanum vulgare,17,28,4,32
Oxalis tuberosa,12,24,5,28
Parinari nonda,26,37,14,42
Passiflora ligularis,22,26,16,31
Pistacia vera,25,35,12,40
Polyscias verticillata,22,34,14,38
Pouteria campechiana,20,26,16,30
Prunus amygdalus,12,35,10,40
Prunus armeniaca,14,35,7,40
Rungia klossii,12,17,12,29
Salvia officinalis,15,26,5,30
Sambucus nigra,12,22,5,30
Sterculia foetida,18,32,16,36
Talinum triangulare,22,30,15,36
Thymus vulgaris,16,25,4,30
Tragopogon porrifolius,13,19,2,24
Tropaeolum tuberosum,12,20,4,24
Ximenia americana,14,30,10,36
Rheum rhaponticum,15,24,5,30
Eugenia aromatica,24,34,20,38
Annona cherimola x Annona squamosa,24,28,12,32
Pangium edule,22,28,18,32
Brosimum alicastrum,18,25,12,35
Beta vulgaris var. cicla,15,25,5,35
Luffa cylindrica,23,27,10,38
Cicer arietinum,15,29,7,35
Musa sp.,22,32,13,38
Alocasia macrorrhizos,20,25,10,32
Eleocharis dulcis,23,29,15,34
Bruguiera gymnorrhiza,20,26,15,30
Avicennia officinalis,25,34,15,38
Musa balbisiana,23,28,16,38
Coffea excelsa,13,26,9,32
Chenopodium quinoa,14,18,2,35
Carthamus tinctorius,20,32,5,45
Phaseolus acutifolius,20,30,8,38
Lupinus angustifolius,12,18,4,26
Vigna aconitifolia,24,32,13,45
Phaseolus polyanthus,14,24,10,28
Indigofera hirsuta,22,30,13,34
Solanum muricatum,15,25,10,30
Agropyron intermedium,15,20,5,36
Pinus palustris,22,31,10,35
Pinus pinaster,18,30,6,34
Pinus ponderosa,15,24,4,28
Abies balsamea,10,18,4,26
Abies concolor,10,18,5,22
Abies pindrow,16,24,2,32
Abroma augustum,26,31,18,36
Acacia acradenia,24,34,8,42
Acacia acuminata,17,28,6,38
Acacia ammobia,24,36,10,43
Acacia ampliceps,14,36,5,46
Acacia ancistrocarpa,22,34,10,46
Acacia aneura,20,34,8,46
Acacia anticeps,18,28,8,36
Acacia argyrodendron,22,32,10,40
Acacia ataxacantha,22,35,10,45
Acacia aulacocarpa,18,32,12,43
Acacia bidwillii,22,32,10,40
Acacia brachystachya,20,40,4,58
Acacia brassii,22,30,12,38
Acacia burrowii,18,30,8,40
Acacia calcicola,22,32,8,42
Acacia cambagei,20,30,5,40
Acacia catechu,25,35,7,48
Acacia cincinnata,22,32,10,39
Acacia coriacea,24,32,10,43
Acacia cowleana,24,35,12,45
Acacia crassicarpa,24,32,15,39
Acacia cyclops,18,26,5,35
Acacia dealbata,15,26,6,32
Acacia dictyophleba,22,30,8,38
Acacia difficilis,22,35,13,42
Acacia erioloba,15,35,10,45
Acacia falciformis,18,32,7,40
Acacia fasciculifera,18,32,10,40
Acacia flavescens,22,34,11,38
Acacia glaucocaesia,14,30,5,36
Acacia glaucocarpa,18,35,8,40
Acacia harpophylla,18,28,7,40
Acacia irrorata,18,32,10,39
Acacia jennerae,12,30,5,36
Acacia jensenii,12,30,5,36
Acacia julifera ssp. gilbertensis,24,35,12,41
Acacia julifera ssp. julifera,20,32,10,38
Acacia karroo,19,33,12,40
Acacia laeta,24,32,14,45
Acacia latzii,22,35,10,44
Acacia leptocarpa,22,33,10,39
Acacia leucophloea,22,32,12,38
Acacia ligulata,18,33,8,42
Acacia macdonnelliensis,24,33,8,42
Acacia maconochieana,24,36,10,42
Acacia maidenii,17,32,10,38
Acacia mangium,22,34,12,38
Acacia mearnsii,18,30,5,35
Acacia melanoxylon,18,22,4,30
Acacia millifera,22,32,12,40
Acacia monticola,20,32,12,42
Acacia murrayana,12,34,5,42
Acacia neriifolia,22,32,8,39
Acacia nilotica,19,34,10,50
Acacia oraria,22,32,14,38
Acacia pachyacra,12,30,5,38
Acacia parchcarpa,25,37,10,45
Acacia pendula,20,30,4,34
Acacia plectocarpa,22,35,12,44
Acacia podalyriifolia,18,32,10,40
Acacia polystachya,24,32,15,38
Acacia pruinocarpa,22,35,8,43
Acacia pycnantha,20,28,5,35
Acacia rothii,24,34,15,40
Acacia salicina,24,30,6,36
Acacia saligna,20,32,5,36
Acacia senegal,24,32,14,48
Acacia seyal,24,32,15,45
Acacia shirleyi,18,36,10,43
Acacia silvestris,15,25,8,33
Acacia simsii,22,32,10,40
Acacia stenophylla,18,32,5,42
Acacia synchronicia,18,28,5,36
Acacia tephrina,22,38,10,43
Acacia tortilis,28,45,10,50
Acacia torulosa,22,36,12,43
Acacia trachycarpa,22,32,8,45
Acacia tumida,22,36,12,42
Acacia victoriae,12,32,5,38
Acacia xiphohylla,24,36,12,45
Acanthosicyos naudinianus,15,30,12,32
Acanthus ilicifolius,18,26,15,32
Acanthus mollis,15,30,10,38
Acca sellowiana,18,21,12,28
Acehmea magdalenae,24,30,12,36
Acer caesium,15,21,7,30
Acer saccharum,14,24,4,28
Achnatherum splendens,8,15,3,20
Acmena smithii,18,28,8,36
Acorus calamus,18,26,4,30
Acrocarpus fraxinifolius,28,35,12,38
Acroceras macrum,16,26,12,30
Acrocomia aculeata,25,35,20,45
Acrocomia totai,22,28,18,34
Actinidia arguta,12,25,5,30
Adansonia digitata,26,36,14,42
Adansonia grandidieri,22,30,8,35
Adansonia gregorii,24,34,13,42
Adina cordifolia,25,35,5,47
Adonis vernalis,14,30,10,36
Aegiceras corniculatum,18,26,7,35
Aegle marmelos,30,42,5,49
Aeschynomene falcata,20,25,5,35
Aeschynomene indica,18,30,10,35
Aesculus indica,23,26,6,30
Aframomum corrorima,16,24,7,35
Aframomum melegueta,21,28,10,34
Afzelia africana,20,32,10,40
Afzelia quanzensis,18,28,14,36
Agathis dammara,28,34,12,38
Agathis labillardieri,24,32,12,40
Agathis microstachya,22,30,10,36
Agave cantala,17,30,10,38
Agave fourcroydes,15,30,10,40
Agave lecheguilla,15,25,10,30
Agropyron cristatum,15,25,5,45
Agropyron dasystachyum,15,25,2,35
Agropyron desertorum,15,20,5,45
Agropyron elongatum,12,20,2,25
Agropyron mongolicum,12,20,3,45
Agropyron repens,10,20,4,45
Agropyron riparium,10,18,2,32
Agropyron sibiricum,15,20,5,45
Agropyron smithii,7,20,2,45
Agropyron spicatum,12,20,2,24
Agropyron tauri,15,20,5,25
Agropyron trachycaulum,13,22,3,26
Agropyron trichophorum,15,20,5,25
Agrostis canina,9,20,2,45
Agrostis gigantea,12,21,2,32
Agrostis tenuis,10,20,3,45
Agrostis trinii,8,15,3,45
Ailanthus altissima,14,28,6,40
Ailanthus excelsa,20,40,4,47
Ailanthus grandis,30,38,4,42
Albizia adianthifolia,22,28,15,34
Albizia chevalieri,24,30,18,35
Albizia chinensis,22,32,15,45
Albizia lophantha,18,26,10,32
Albizia lucida,20,34,6,42
Albizia odoratissima,24,37,5,48
Albizia pullenii,24,30,20,34
Albizia toona,22,32,12,37
Allium chinense,15,26,8,35
Alnus acuminata,15,28,4,34
Alnus japonica,18,32,4,36
Alnus nepalensis,15,28,4,36
Alnus rubra,17,32,4,45
Aloe arborescens,18,26,9,38
Aloe barbadensis,19,27,10,35
Aloe ferox,18,26,10,30
Aloe perryi,22,27,12,31
Alopecurus arundinaceus,9,18,2,15
Alopecurus geniculatus,10,15,6,22
Alopecurus pratensis,9,22,2,32
Aloysia triphylla,18,28,14,33
Alpinia galanga,27,32,20,36
Alpinia officinarum,19,27,15,36
Altingia excelsa,20,32,10,40
Alysicarpus rugosus,22,30,18,36
Alysicarpus vaginalis,22,30,15,35
Amaranthus hybridus,12,30,8,35
Amaranthus hypochondriacus,19,23,10,32
Aronia alnifolia,15,20,5,25
Ammandra natalia,21,26,17,30
Ammophila arenaria,9,20,2,25
Ammophila breviligulata,9,18,2,25
Andropogon gayanus,22,28,16,32
Andropogon gerardii var. gerardii,10,20,3,28
Andropogon hallii,10,20,4,30
Angelica archangelica,5,19,2,22
Angophora costata,18,28,10,38
Angophora floribunda,18,30,7,41
Anisoptera scaphula,20,33,15,38
Annona atemoya,24,28,12,32
Annona montana,16,26,14,32
Annona scleroderma,23,26,8,32
Annona senegalensis,17,30,14,38
Anogeissus acuminata,22,32,10,43
Anogeissus latifolia,22,33,7,47
Anogeissus pendula,25,35,4,48
Anthemis nobilis,15,26,3,30
Anthephora pubescens,16,28,12,36
Anthocephalus macrophyllus,20,32,15,43
